,words,variation
0,the,3.575673907995224
1,and,3.3733673989772797
2,a,3.7165215611457825
3,of,3.661918580532074
4,to,3.833070248365402
5,it,3.581037849187851
6,that,3.3981672823429108
7,in,3.292705327272415
8,with,4.041749656200409
9,for,3.4376018345355988
10,they,3.5248538851737976
11,as,4.208924055099487
12,on,3.779812812805176
13,but,3.7679437398910522
14,at,3.932858169078827
15,all,3.873461663722992
16,then,4.866935133934021
17,this,4.196858912706375
18,out,4.244510442018509
19,so,3.5144750773906708
20,by,3.6229619681835175
21,little,4.265314310789108
22,would,4.0360153913497925
23,an,4.242644011974335
24,them,4.6352925300598145
25,if,4.70529106259346
26,from,3.8190472424030304
27,more,5.176993131637573
28,one,3.8569386899471283
29,or,4.013559281826019
30,could,4.506726682186127
31,when,3.7336204051971436
32,other,4.955343842506409
33,no,4.610588788986206
34,about,4.2824506759643555
35,some,4.832784503698349
36,into,4.2200572192668915
37,like,4.488968521356583
38,any,4.183603256940842
39,away,4.151835173368454
40,before,5.684055060148239
41,through,4.149211376905441
42,might,3.7966568171977997
43,which,3.9371552169322968
44,what,4.603454977273941
45,while,4.175556480884552
46,such,4.984954118728638
47,off,4.249334275722504
48,after,4.07626348733902
49,where,3.9409143924713135
50,once,4.595377564430237
51,much,4.391137808561325
52,who,4.514322191476822
53,something,4.455713838338852
54,each,4.391922265291214
55,will,4.166424214839935
56,next,5.596470057964325
57,without,4.423134833574295
58,these,3.9045096039772034
59,another,5.402039587497711
60,till,5.805196285247803
61,most,3.6234425455331802
62,along,4.411373287439346
63,can,4.469448059797287
64,many,5.718889802694321
65,enough,3.84272700548172
66,nothing,4.997330576181412
67,behind,3.927734851837158
68,must,5.458231121301651
69,shall,6.863188862800598
70,both,4.14406618475914
71,part,4.396262526512146
72,should,3.6940183639526367
73,whose,3.640943080186844
74,couple,5.396200567483902
75,round,3.760545462369919
76,close,3.8865416944026947
77,those,3.375419795513153
78,though,3.2878814339637756
79,against,4.125204265117645
80,our,3.832761198282242
81,among,3.398309975862503
82,since,4.743336170911789
83,either,3.0293258726596832
84,none,4.240591526031494
85,below,4.335517317056656
86,nor,3.0610817074775696
87,neither,3.419461876153946
88,dare,4.069372266530991
89,may,3.588915318250656
90,past,3.1335551142692566
91,opposite,5.773906707763672
92,need,3.117937356233597
